Annual consolidated balance sheet of the Eurosystem ,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in EUR millions) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets,"Balance as at
31 December 1999","Balance as at
31 December 2000","Balance as at
31 December 2001","Balance as at
31 December 2002","Balance as at
31 December 2003","Balance as at
31 December 2004","Balance as at
31 December 2005","Balance as at
31 December 2006","Balance as at
31 December 2007","Balance as at
31 December 2008","Balance as at
31 December 2009","Balance as at
31 December 2010","Balance as at
31 December 2011","Balance as at
31 December 2012","Balance as at
31 December 2013","Balance as at
31 December 2014","Balance as at
31 December 2015",Balance as at 31 December 2016,Balance as at 31 December 2017,Balance as at 31 December 2018,Balance as at 31 December 2019,Balance as at 31 December 2020,Balance as at 31 December 2021,Balance as at 31 December 2022,Balance as at 31 December 2023,Balance as at 31 December 2024,Balance as at 31 December 2025
 1 Banknotes in circulation,"374,964","371,370","269,558","371,866","436,128","501,256","565,216","628,238","676,678","762,921","806,522","839,702","888,676","912,592","956,185","1,016,616","1,083,539","1,126,215","1,170,716","1,231,134","1,292,742","1,434,512","1,544,387","1,572,033","1,567,711","1,588,344","1,619,535"
 2 Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,"117,301","124,642","148,072","133,565","147,328","138,735","155,535","174,051","379,183","492,310","395,614","378,008","849,477","925,386","473,155","366,511","768,333","1,313,264","1,881,596","1,853,802","1,813,377","3,489,288","4,293,938","3,998,940","3,508,865","2,991,283","2,600,602"
    2.1 Current accounts (covering the minimum reserve system),"114,672","124,402","147,580","133,495","147,247","138,624","155,283","173,482","267,337","291,710","233,490","212,739","223,539","447,112","282,578","318,245","555,778","888,988","1,185,792","1,230,153","1,537,667","2,805,426","3,512,153","218,933","174,019","192,273","200,757"
    2.2 Deposit facility,"2,618",240,488,70,80,106,252,567,"8,831","200,487","162,117","104,458","413,882","280,219","85,658","48,266","212,415","424,208","695,801","623,531","275,710","683,863","779,596","3,778,787","3,334,822","2,799,010","2,399,845"
    2.3 Fixed-term deposits,0,0,0,0,0,0,0,0,"101,580",0,0,"60,784","211,000","197,559","104,842",0,0,0,0,0,0,0,0,0,0,0,0
    2.4 Fine-tuning reverse operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    2.5 Deposits related to margin calls,10,0,4,0,1,5,0,2,"1,435",113,6,27,"1,056",496,77,0,140,69,2,118,0,0,2188,"1,219",24,0,0
 3 Other liabilities to euro area credit institutions denominated in euro,283,305,"37,159",15,257,126,207,65,126,328,340,"2,808","2,423","6,688","3,014","4,635","5,200","9,427","20,984","19,759","9,869","23,643","76,674","78,335","58,881","27,869","11,634"
 4 Debt certificates issued,"7,876","3,784","2,939","2,029","1,054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 5 Liabilities to other euro area residents denominated in euro,"61,762","57,047","51,277","46,197","39,865","42,187","41,762","53,374","46,183","91,077","129,730","79,792","79,726","135,653","91,108","64,109","141,891","220,760","286,395","338,668","311,769","611,130","757,063","564,582","303,860","203,849","215,729"
