"series key","first date (dd-mm-yyyy)","last date (dd-mm-yyyy)","dimensions"
"SUP.Q.B01.W0._Z.A6400.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6400.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6400.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6400.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6400.UNI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6400._T.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6400._T.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.AMC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.AMC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.CSCB.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.CWH.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.CWH.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.DEV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.DEV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.DIV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.DIV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.DOM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410.UNI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6410._T.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6410._T.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.AMC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.AMC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.CSCB.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.CWH.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.CWH.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.DEV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.DEV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.DIV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.DIV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.DOM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420.UNI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6420._T.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6420._T.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.AMC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.AMC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.CSCB.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.CWH.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.CWH.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.DEV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.DEV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.DIV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.DIV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.DOM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421.UNI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6421._T.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6421._T.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.AMC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.AMC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.CSCB.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.CWH.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.CWH.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.DEV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.DEV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.DIV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.DIV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.DOM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422.UNI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6422._T.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6422._T.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.AMC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.AMC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.CSCB.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.CWH.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.CWH.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.DEV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.DEV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.DIV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.DIV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.DOM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500.UNI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6500._T.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6500._T.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.AMC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.AMC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.CSCB.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.CWH.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.CWH.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.DEV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.DEV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.DIV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.DIV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.DOM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510.UNI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6510._T.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6510._T.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.AMC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.AMC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.CSCB.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.CWH.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.CWH.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.DEV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.DEV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.DIV.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.DIV.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.DOM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.EEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.EML.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.GSIB.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.LORI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.MHRI.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.NC.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.NC.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.NEEA.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.RCCL.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
"SUP.Q.B01.W0._Z.A6520.RCCL.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.ROW.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.SL30.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.SM20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.SML.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.SSM.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.ST10.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.ST20.SII._Z.ALL.LE.E.C","01-07-2016","01-10-2025","null"
"SUP.Q.B01.W0._Z.A6520.UNI.LSI._Z.ALL.LE.E.C","01-04-2020","01-07-2025","null"
