"series key","first date (dd-mm-yyyy)","last date (dd-mm-yyyy)","dimensions"
"SUP.H.B01.AT.S13.E0010.CWH.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010.CWH.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.DEV.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010.DEV.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.DIV.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010.DIV.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.EML.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010.GSIB.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.LORI.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.MHRI.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.NC.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010.NC.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.RCCL.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010.RCCL.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.SL30.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.SM20.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.SML.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.ST10.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.ST20.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010.UNI.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010.UNI.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.AT.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.AT.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.BE.S13.E0010.AMC.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.BE.S13.E0010.AMC.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.BE.S13.E0010.CSCB.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.BE.S13.E0010.CWH.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.BE.S13.E0010.CWH.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.BE.S13.E0010.DEV.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.BE.S13.E0010.DEV.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.BE.S13.E0010.DIV.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.BE.S13.E0010.DIV.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.BE.S13.E0010.EML.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.B01.BE.S13.E0010.GSIB.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.B01.BE.S13.E0010.LORI.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
