Publication Table,Publication table description,Period,Dimension,Dimension name,Dimension code,Dimension value,Dataflow,Dataflow name,Last update of data,Downloaded at,Source,Source URL,Download URL,About International banking / Locational banking statistics
BIS:LBS_A1(1.0),"Summary of locational statistics, by currency, instrument and residence and sector of counterparty",2025-Q3,L_MEASURE,Measure,S,Amounts outstanding / Stocks,BIS:WS_LBS_D_PUB(1.0),Locational banking,16/03/2026,2026-03-30 23:00 CEST,BIS,"https://data.bis.org/topics/LBS/tables-and-dashboards/BIS,LBS_A1,1.0?","https://data.bis.org/pt_export/BIS,LBS_A1,1.0?file_format=csv&variant=table",https://data.bis.org/topics/LBS

,All sectors,,Bank sector,,,,Non-bank sector,,,,,,Unallocated by sector,
,,,Total,,Of which: Intragroup [1],,Total,,Of which: Non-bank financial [2],,Of which: Non-financial [2],,,
,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities
Cross-border positions,"45,066.122301","40,188.178199","20,970.007543","20,162.159831","12,991.182842","12,092.592854","21,939.539172","13,690.117789","10,822.338198","8,610.470664","10,564.38238","4,619.968169","2,156.575586","6,335.900579"
"  By residence of counterparty, of which",,,,,,,,,,,,,,
    Argentina,21.645214,29.740186,7.376605,11.743241,3.623789,0.693577,14.173168,17.869484,1.368647,3.57863,12.012281,14.057112,0.095441,0.127461
    Australia,612.722039,345.713433,397.463201,243.356935,183.31365,141.93941,200.848152,85.997046,82.548786,52.143384,102.997413,27.952747,14.410686,16.359452
    Brazil,317.144651,74.319561,164.158239,39.549689,104.913164,17.516595,150.762544,33.906537,20.425522,7.592557,122.379694,25.948396,2.223868,0.863335
    Canada,"1,111.206972",617.38904,704.009351,458.04619,477.768239,361.766587,393.648574,134.595551,205.515684,77.806711,186.193815,54.141142,13.549047,24.747299
    China,857.735538,"1,104.845745",450.445725,657.687538,173.692342,349.810461,388.748777,429.58173,55.47001,59.706428,295.385723,351.168565,18.541036,17.576477
    France,"2,804.817435","2,024.733253","1,966.353867","1,672.466725",863.528439,834.040793,810.914539,285.479169,217.867713,149.288519,589.361073,134.038319,27.549029,66.787359
    Germany,"2,470.269214","2,752.50577","1,643.40558","1,829.850679",748.762636,888.46846,595.541056,442.545661,209.43123,189.35923,382.889027,251.540473,231.322578,480.10943
    India,214.987471,140.32432,92.020467,125.122282,34.773827,36.134133,111.274457,13.930897,15.253321,2.942329,67.018134,8.674164,11.692547,1.271141
    Indonesia,127.002739,31.6816,33.299791,23.930793,18.738445,8.442182,87.696998,7.604935,3.839802,0.45981,59.904506,7.094113,6.00595,0.145872
    Italy,"1,076.93568",688.643492,537.120695,347.347288,337.390631,259.767847,515.383358,223.676777,205.555077,120.828139,309.637488,102.206858,24.431627,117.619427
    Japan,"1,771.016922","1,033.324421","1,074.493115",680.913577,795.761868,524.53614,623.752692,220.336795,400.735814,161.75407,215.524476,52.772292,72.771115,132.074049
