Publication Table,Publication table description,Period,Dimension,Dimension name,Dimension code,Dimension value,Dataflow,Dataflow name,Last update of data,Downloaded at,Source,Source URL,Download URL,About International banking / Locational banking statistics
BIS:LBS_A2(1.0),"Cross-border positions, by location of reporting bank and sector of counterparty",2025-Q3,L_MEASURE,Measure,S,Amounts outstanding / Stocks,BIS:WS_LBS_D_PUB(1.0),Locational banking,16/03/2026,2026-03-30 23:00 CEST,BIS,"https://data.bis.org/topics/LBS/tables-and-dashboards/BIS,LBS_A2,1.0?","https://data.bis.org/pt_export/BIS,LBS_A2,1.0?file_format=csv&include=code%2Clabel&variant=table",https://data.bis.org/topics/LBS

,All sectors,,Bank sector,,,,Non-bank sector,,,,,,Unallocated by sector,
,,,Total,,Of which: Intragroup [1],,Total,,Of which: Non-bank financial,,Of which: Non-financial,,,
,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities
  Macao SAR,203.383348,130.089856,114.524098,66.938581,47.749535,47.036167,87.680924,43.632742,19.159354,16.459931,68.521567,27.172814,1.178326,19.518533
  Malaysia,85.705506,142.390393,\,\,\,\,35.305833,39.014437,\,\,\,\,\,\
  Mexico,62.734357,21.789541,38.507844,18.930129,,,24.226513,2.859412,,,,,,
  Netherlands,"1,436.945073","1,088.087545",688.281122,514.226738,500.102802,402.817451,709.849034,533.858056,348.555626,287.44775,361.2935,246.41043,38.814917,40.002751
  Norway,245.406652,402.871974,125.468697,165.380436,65.072574,124.981694,119.825858,46.72246,63.60473,13.027406,56.221122,33.695054,0.112097,190.769078
  Panama,71.99041,62.877593,36.179938,30.613534,,,35.810472,32.264059,,,,,,
  Philippines,43.942822,29.53401,20.602473,23.72877,3.068803,4.994069,23.287387,5.480102,3.13775,3.039797,20.149642,2.440344,0.052962,0.325138
  Portugal,130.353601,105.610764,27.592603,42.270626,10.254471,30.161986,100.353985,23.689086,8.866196,2.721855,91.487789,20.967231,2.407013,39.651052
  Russia,,,,,,,,,,,,,,
  Saudi Arabia,114.777572,153.006809,68.355932,142.337009,\,\,46.417691,10.072227,\,\,\,\,0.003949,0.597573
  Singapore,818.28254,728.416965,\,421.503633,\,,369.251091,306.388079,,,,,\,\
  South Africa,59.7440,52.5050,33.6410,39.9570,7.4780,16.4020,26.0490,12.4540,10.1950,8.3130,15.8540,4.1410,0.0540,0.0940
  Spain,"1,168.11603",645.431389,552.11035,358.595342,257.925073,115.491084,478.884354,185.249683,193.027951,86.396102,285.856386,98.853604,137.121326,101.586364
  Sweden,466.902148,660.177902,231.48925,201.400491,171.332917,163.574661,222.673365,119.079028,126.132342,82.418068,96.541073,36.660984,12.739533,339.698383
  Switzerland,"1,035.521215","1,062.525787",613.341786,525.698366,251.053532,260.554564,414.820235,536.750209,207.139665,187.955416,207.680578,348.794774,7.359194,0.077212
  Türkiye,125.6511,136.578568,119.879549,107.722328,24.046333,13.461103,5.771551,23.619806,0.997036,8.285572,4.774515,15.334234,,5.236434
  United Kingdom,"6,668.2920","6,419.9050","3,120.0910","3,050.7530","2,200.3640","2,063.3370","3,494.2820","2,369.2920","2,425.4400","1,895.9660","1,068.8420",473.3260,53.9190,999.8600
  United States,"4,239.3820","5,464.3420","1,934.9730","2,891.6030","1,581.6100","2,185.3220","2,304.4090","2,572.7380","1,889.0290","1,955.6760",415.3800,617.0620,\,\
,,,,,,,,,,,,,,
"[1] Intragroup positions are, due to greater coverage, from the LBS by nationality of reporting bank.",,,,,,,,,,,,,,

,All sectors,,Bank sector,,,,Non-bank sector,,,,,,Unallocated by sector,
,,,Total,,Of which: Intragroup [1],,Total,,Of which: Non-bank financial,,Of which: Non-financial,,,
,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities
Banks in all LBS reporting countries,Q.S.C.A.TO1.A.5J.A.5A.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.5J.N.2025-Q3
  Australia,Q.S.C.A.TO1.A.5J.A.AU.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AU.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AU.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AU.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AU.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AU.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AU.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AU.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AU.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AU.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AU.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AU.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AU.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AU.U.5J.N.2025-Q3
  Austria,Q.S.C.A.TO1.A.5J.A.AT.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AT.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AT.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AT.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AT.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AT.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AT.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AT.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AT.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AT.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AT.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AT.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.AT.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.AT.U.5J.N.2025-Q3
  The Bahamas,Q.S.C.A.TO1.A.5J.A.BS.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BS.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BS.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BS.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BS.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BS.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BS.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BS.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BS.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BS.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BS.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BS.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BS.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BS.U.5J.N.2025-Q3
  Bahrain,Q.S.C.A.TO1.A.5J.A.BH.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BH.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BH.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BH.B.5J.N.2025-Q3,,,Q.S.C.A.TO1.A.5J.A.BH.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BH.N.5J.N.2025-Q3,,,,,Q.S.C.A.TO1.A.5J.A.BH.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BH.U.5J.N.2025-Q3
  Belgium,Q.S.C.A.TO1.A.5J.A.BE.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BE.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BE.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BE.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BE.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BE.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BE.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BE.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BE.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BE.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BE.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BE.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BE.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BE.U.5J.N.2025-Q3
  Bermuda,Q.S.C.A.TO1.A.5J.A.BM.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BM.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BM.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BM.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BM.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BM.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BM.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BM.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BM.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BM.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BM.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BM.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BM.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BM.U.5J.N.2025-Q3
  Brazil,Q.S.C.A.TO1.A.5J.A.BR.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BR.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BR.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BR.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BR.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BR.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BR.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BR.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BR.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BR.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BR.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BR.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.BR.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.BR.U.5J.N.2025-Q3
  Canada,Q.S.C.A.TO1.A.5J.A.CA.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CA.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.CA.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CA.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.CA.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CA.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.CA.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CA.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.CA.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CA.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.CA.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CA.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.CA.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CA.U.5J.N.2025-Q3
  Cayman Islands,Q.S.C.A.TO1.A.5J.A.KY.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.KY.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.KY.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.KY.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.KY.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.KY.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.KY.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.KY.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.KY.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.KY.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.KY.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.KY.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.KY.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.KY.U.5J.N.2025-Q3
  Chile,Q.S.C.A.TO1.A.5J.A.CL.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CL.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.CL.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CL.B.5J.N.2025-Q3,,,Q.S.C.A.TO1.A.5J.A.CL.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CL.N.5J.N.2025-Q3,,,,,Q.S.C.A.TO1.A.5J.A.CL.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.CL.U.5J.N.2025-Q3
