Publication Table,Publication table description,Period,Dimension,Dimension name,Dimension code,Dimension value,Dataflow,Dataflow name,Last update of data,Downloaded at,Source,Source URL,Download URL,About International banking / Locational banking statistics
BIS:LBS_A3(1.0),"Cross-border positions, by residence and sector of counterparty",2025-Q3,L_MEASURE,Measure,S,Amounts outstanding / Stocks,BIS:WS_LBS_D_PUB(1.0),Locational banking,16/03/2026,2026-03-30 23:02 CEST,BIS,"https://data.bis.org/topics/LBS/tables-and-dashboards/BIS,LBS_A3,1.0?","https://data.bis.org/pt_export/BIS,LBS_A3,1.0?file_format=csv&include=code%2Clabel&variant=table",https://data.bis.org/topics/LBS

,All sectors,,Bank sector,,,,Non-bank sector,,,,,,Unallocated by sector,
,,,Total,,Of which: Intragroup,,Total,,Of which: Non-bank financial,,Of which: Non-financial,,,
,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities
Counterparties in all countries,"45,066.122301","40,188.178199","20,970.007543","20,162.159831","12,991.182842","12,092.592854","21,939.539172","13,690.117789","10,822.338198","8,610.470664","10,564.38238","4,619.968169","2,156.575586","6,335.900579"
  Afghanistan,0.009535,1.323885,0.000049,1.070493,,0.000312,0.009486,0.245324,,0.015116,0.009486,0.230193,,0.008068
  Albania,1.066252,2.54613,0.322755,2.078612,0.073683,0.377239,0.74244,0.231712,0.00587,0.040707,0.73657,0.190997,0.001057,0.235806
  Algeria,1.809251,8.192584,1.435804,2.709141,1.063372,0.129638,0.364957,2.404486,0.015085,0.018008,0.149872,2.342208,0.00849,3.078957
  Andorra,1.658021,2.826832,0.672407,1.300521,0.604117,0.35834,0.780099,1.444077,0.015505,0.045575,0.763594,1.339886,0.205515,0.082234
  Angola,25.788755,20.205592,0.828394,5.090386,0.184315,0.305542,24.934394,14.322353,0.32267,0.028183,24.611724,14.277119,0.025967,0.792853
  Anguilla,0.545682,3.318702,0.040466,0.304798,,,0.483879,3.012967,0.084265,0.63534,0.399614,2.376898,0.021337,0.000937
  Antigua and Barbuda,0.047939,0.360121,0.015071,0.120139,0.0090,,0.032865,0.238813,,0.004179,0.032865,0.231494,0.000003,0.001169
  Argentina,21.645214,29.740186,7.376605,11.743241,3.623789,0.693577,14.173168,17.869484,1.368647,3.57863,12.012281,14.057112,0.095441,0.127461
  Armenia,1.194058,1.467136,0.524979,1.007909,0.028215,0.015115,0.63314,0.455764,0.043722,0.027996,0.589418,0.423741,0.035939,0.003463
  Aruba,0.422434,0.706331,0.126645,0.191674,0.126854,-0.00399,0.294688,0.507557,0.035908,0.066657,0.257295,0.430951,0.001101,0.0071
  Australia,612.722039,345.713433,397.463201,243.356935,183.31365,141.93941,200.848152,85.997046,82.548786,52.143384,102.997413,27.952747,14.410686,16.359452
  Austria,214.275679,122.829355,103.249467,57.615257,11.503071,11.416641,107.408469,46.09042,6.080517,6.114247,101.102754,39.875837,3.617743,19.123678
  Azerbaijan,2.148424,7.588371,0.345022,3.258467,0.0040,0.000003,1.799336,4.276071,0.008805,1.025126,1.719357,3.245869,0.004066,0.053833
  The Bahamas,67.034326,107.463254,43.194093,50.487952,24.61922,37.598902,23.575957,35.210247,10.647797,15.630388,8.780032,11.137471,0.264276,21.765055
  Bahrain,68.627176,65.212965,60.775483,57.099301,36.519656,38.457382,7.764567,7.726597,0.566043,0.661204,6.69635,6.419618,0.087126,0.387067
  Bangladesh,20.859614,10.04179,3.872976,8.304773,0.327448,1.086116,16.807065,1.7178,-0.010074,0.023547,14.252094,1.372212,0.179573,0.019217
  Barbados,19.859684,23.504864,15.805093,17.984993,15.710784,13.62094,3.81719,5.439578,2.34363,2.73198,1.454174,2.268771,0.237401,0.080293
  Belarus,2.736531,3.741058,0.900239,2.887425,,0.017142,1.836291,0.850178,0.008497,0.658974,1.827794,0.191151,0.000001,0.003455
  Belgium,523.976107,587.751207,313.831437,247.891294,209.9260,149.733454,197.496787,102.561169,23.822199,27.410393,172.923144,73.842127,12.647883,237.298744
  Belize,1.623958,6.794573,0.000362,0.585225,,0.0180,1.621135,6.207055,0.735376,1.65375,0.824932,3.980647,0.002461,0.002293
  Benin,3.769634,0.325086,0.180929,0.051444,0.0390,0.003303,3.559553,0.26447,,0.000025,3.559553,0.263399,0.029152,0.009172
  Bermuda,142.869472,105.073586,1.529554,7.944918,0.703461,0.972094,139.460394,86.405202,80.376383,56.718118,57.052347,25.659101,1.879524,10.723466
  Bhutan,0.007768,0.152937,,0.08012,,,0.007768,0.022436,,0.000003,0.007768,0.022433,,0.050381
  Bolivia,2.938006,3.78732,0.549082,1.333739,0.020852,0.009009,2.387683,2.449024,0.153072,0.345524,2.230499,1.82801,0.001241,0.004557
"  Bonaire, Sint Eustatius and Saba",0.042215,0.170436,0.031313,0.057106,0.031312,,0.010879,0.112228,,0.00779,0.010879,0.104438,0.000023,0.001102
  Bosnia and Herzegovina,1.245177,5.459928,0.874594,4.990757,0.598389,0.277723,0.370576,0.445938,0.085781,0.044847,0.284795,0.401091,0.000007,0.023233
  Botswana,0.504136,2.821768,0.07672,1.847254,0.0250,0.774148,0.428242,0.973327,0.020786,0.220324,0.404456,0.621003,-0.000826,0.001187
  Brazil,317.144651,74.319561,164.158239,39.549689,104.913164,17.516595,150.762544,33.906537,20.425522,7.592557,122.379694,25.948396,2.223868,0.863335
  Brunei,2.4581,2.222777,0.579537,1.477884,0.274895,0.555662,1.85855,0.728804,0.017968,0.174844,1.486183,0.54896,0.020013,0.016089
  Bulgaria,19.23399,22.67998,13.996257,16.428547,8.456567,2.655459,5.182439,5.11769,1.093856,0.508178,4.08858,4.581555,0.055294,1.133743
  Burkina Faso,0.97787,0.339356,0.274642,0.19461,0.085951,0.004028,0.699112,0.142654,0.015119,0.00302,0.683993,0.139631,0.004116,0.002092
  Burundi,0.510317,0.119859,0.391004,0.036858,0.0030,,0.118311,0.0830,0.062449,0.000112,0.055862,0.082888,0.001002,0.000001
  Cambodia,19.14106,8.393849,5.377059,7.403323,4.852448,2.541706,13.552674,0.982702,4.555933,0.042464,8.458083,0.939173,0.211327,0.007824
  Cameroon,5.788165,2.610614,0.494803,1.510756,0.245403,0.013386,5.291168,1.087264,0.030169,0.010273,5.260999,1.068991,0.002194,0.012594
  Canada,"1,111.206972",617.38904,704.009351,458.04619,477.768239,361.766587,393.648574,134.595551,205.515684,77.806711,186.193815,54.141142,13.549047,24.747299
  Cabo Verde,0.696969,0.445508,0.043274,0.268624,0.002277,0.074409,0.648339,0.136545,,0.000002,0.648339,0.136143,0.005356,0.040339
  Cayman Islands,"2,603.521173","1,435.651583",200.643504,179.216857,122.602719,127.599014,"2,363.601209","1,183.871835","1,887.768164","1,012.986087",450.280854,153.286057,39.27646,72.562891
  Central African Republic,0.021042,0.04451,0.00337,0.006106,,,0.017672,0.038404,,0.000399,0.017672,0.038005,,0.0000
  Chad,0.410685,0.192267,0.000368,0.02103,-0.0030,0.0070,0.40929,0.170159,,0.000027,0.40929,0.170132,0.001027,0.001078
  Chile,78.883622,33.344612,30.393868,10.090356,12.814282,2.179125,43.295836,17.089671,11.534971,4.901238,30.181845,11.92533,5.193918,6.164585
  China,857.735538,"1,104.845745",450.445725,657.687538,173.692342,349.810461,388.748777,429.58173,55.47001,59.706428,295.385723,351.168565,18.541036,17.576477
  Chinese Taipei,177.694487,337.048029,98.653405,170.407714,36.965415,97.145908,74.766703,165.012999,20.011642,27.788811,50.486066,120.513049,4.274379,1.627316
