  Colombia,50.047238,39.045121,8.894557,10.784982,2.435665,1.1214,36.032697,21.977712,6.186221,3.145076,24.982396,9.924031,5.119984,6.282427
  Comoros,0.098377,0.036003,,0.005219,,,0.098377,0.030769,,,0.098377,0.029555,,0.000015
  Republic of Congo,3.904924,1.713315,0.130686,0.643282,0.096308,0.283621,3.773967,1.069425,0.000001,0.00894,3.773966,1.060482,0.000271,0.000608
  Democratic Republic of the Congo,2.522911,3.349174,0.069873,1.662992,0.020105,0.0800,2.452732,1.682314,,0.035928,2.452732,1.424381,0.000306,0.003868
  Costa Rica,8.742072,13.662767,4.024531,7.315839,0.727514,0.352777,4.711132,6.3300,0.542552,0.531627,1.832114,1.74712,0.006409,0.016928
  Côte d'Ivoire,19.380156,2.711684,3.14873,1.078194,1.347564,0.126984,15.556087,1.515391,0.212469,0.078351,15.339154,1.422842,0.675339,0.118099
  Croatia,16.246121,8.970374,9.197144,6.36313,4.203591,4.695327,7.043096,2.558481,2.86147,0.246804,4.181626,2.306467,0.005881,0.048763
  Cuba,1.516983,1.153442,0.709338,0.892512,0.0030,,0.807636,0.258876,0.022477,0.046811,0.784545,0.206076,0.000009,0.002054
  Curaçao,16.613647,17.863984,12.522563,12.395156,12.364916,8.299969,3.432445,5.455965,1.585492,1.458082,1.846953,3.758866,0.658639,0.012863
  Cyprus,24.459353,68.966501,5.67616,7.33088,0.0300,0.022775,18.750063,60.512351,8.975804,20.980217,9.031562,38.357707,0.03313,1.12327
  Czechia,104.670804,41.027139,84.636471,27.810021,66.656785,8.259403,19.444507,11.27328,2.806018,1.932589,16.532537,9.308877,0.589826,1.943838
  Denmark,228.969789,233.634827,111.453514,136.315432,39.934391,73.797591,100.155849,66.463015,39.289041,25.876323,60.598788,40.497276,17.360426,30.85638
  Djibouti,1.427902,0.875976,0.233327,0.693807,0.232168,0.236691,1.194575,0.183076,,0.003289,1.194575,0.178787,,-0.000907
  Dominica,0.027631,0.363926,,0.179686,,,0.027631,0.182823,0.002013,0.0063,0.025618,0.129136,,0.001417
  Dominican Republic,9.815026,10.795147,2.872265,4.638326,0.706177,0.0560,6.849015,6.147574,0.500114,0.84212,3.947841,3.011717,0.093746,0.009247
  Ecuador,9.979194,7.35681,2.642422,2.467097,0.0290,0.032068,7.248272,4.881772,0.313455,0.419425,5.499971,2.546148,0.0885,0.007941
  Egypt,55.42172,42.824298,20.343396,31.986056,0.907106,1.800741,35.054857,10.814818,0.64612,1.014324,30.120262,8.943519,0.023467,0.023424
  El Salvador,2.68743,3.304708,1.132794,0.782905,0.0280,0.0220,1.553928,2.520501,0.16854,0.361549,0.666351,0.977456,0.000708,0.001302
  Equatorial Guinea,0.038926,0.113429,0.02137,0.01781,0.0210,0.0030,0.018554,0.095206,0.000002,0.001653,0.018552,0.093493,-0.000998,0.000413
  Eritrea,0.290439,0.628629,,0.365576,,,0.290439,0.262996,0.000088,,0.290351,0.170996,,0.000057
  Estonia,6.196271,4.492391,3.645763,1.011735,2.901129,0.800875,2.29542,3.005904,0.19559,0.492549,2.10083,2.504245,0.255088,0.474752
  Eswatini,0.531938,1.078354,0.144924,0.892568,0.1310,0.226273,0.387013,0.183569,0.029414,0.019717,0.357599,0.160849,0.000001,0.002217
  Ethiopia,7.619708,5.444067,0.267803,2.386581,0.0020,,7.351847,3.055901,0.0080,0.404426,7.343847,2.649475,0.000058,0.001585
  Faeroe Islands,1.807215,0.338662,0.244213,0.083464,,,1.56253,0.254951,0.000078,0.023992,1.562452,0.230959,0.000472,0.000247
  Falkland Islands,0.081867,0.692362,,0.3220,,0.3220,0.081867,0.369962,,,0.081867,0.334962,,0.0004
  Fiji,0.427797,0.839499,0.283865,0.52871,0.270789,0.239585,0.143927,0.309761,,0.012939,0.142474,0.285026,0.000005,0.001028
  Finland,211.375444,101.88086,116.727981,56.966272,41.632091,37.367826,79.729162,29.145531,11.94351,7.281138,67.696183,21.779848,14.918301,15.769057
  France,"2,804.817435","2,024.733253","1,966.353867","1,672.466725",863.528439,834.040793,810.914539,285.479169,217.867713,149.288519,589.361073,134.038319,27.549029,66.787359
  French Polynesia,2.697922,1.784638,1.285746,1.030023,1.2830,0.857359,1.407019,0.752874,,0.011881,1.404208,0.731201,0.005157,0.001741
  French Southern Territories,0.000372,0.001785,0.000271,,,,0.000101,0.001784,0.0001,,0.000001,0.001784,,0.000001
  Gabon,1.828823,1.348084,0.020256,0.173116,0.012118,0.07703,1.807567,1.174206,0.0015,0.001043,1.806067,1.113322,0.0010,0.000762
  The Gambia,0.155916,0.481883,0.0230,0.344495,0.0020,0.0410,0.133916,0.136504,0.050416,0.006841,0.0825,0.11766,-0.0010,0.000884
  Georgia,2.651975,3.294321,1.052474,2.348716,0.0540,0.0090,1.592716,0.934033,0.068849,0.034735,1.523867,0.895361,0.006785,0.011572
  Germany,"2,470.269214","2,752.50577","1,643.40558","1,829.850679",748.762636,888.46846,595.541056,442.545661,209.43123,189.35923,382.889027,251.540473,231.322578,480.10943
  Ghana,6.949795,5.70123,0.677091,2.568429,0.21951,0.275259,6.247284,3.12817,0.016623,0.146226,6.139088,2.784944,0.02542,0.004631
  Gibraltar,3.168896,10.456013,1.418086,5.656554,0.008722,0.765614,1.738393,4.778374,0.418349,1.990375,1.302015,2.488965,0.012417,0.021085
  Greece,48.837208,62.62663,22.488513,23.550372,4.23449,10.011853,25.896543,33.19164,0.992814,1.620895,24.160484,30.833683,0.452152,5.884618
  Greenland,1.403211,0.195338,0.008813,0.017627,,,1.394398,0.177711,0.000972,0.004463,1.393426,0.17324,,0.0000
  Grenada,0.07504,0.238694,,0.080201,,,0.07504,0.16038,,0.045983,0.07504,0.111109,,-0.001887
  Guatemala,10.046188,6.077284,6.286082,2.3044,0.197224,0.089238,3.624493,3.771088,0.309952,0.38413,1.201307,1.586816,0.135613,0.001796
  Guernsey,148.419058,120.188103,51.32017,61.431508,3.877118,18.193347,96.604086,57.717617,82.623199,13.3679,11.161201,39.588582,0.494802,1.038978
  Guinea,2.613207,2.727881,0.3527,0.675065,0.1040,0.073179,2.258467,2.052524,,0.000628,2.258467,1.940606,0.00204,0.000292
  Guinea-Bissau,0.049675,0.097687,0.000041,0.006478,,,0.049623,0.091153,,,0.049623,0.090089,0.000011,0.000056
  Guyana,0.655977,0.801609,0.082131,0.488443,0.081049,0.000177,0.573843,0.306149,,0.061489,0.469681,0.235207,0.000003,0.007017
  Haiti,0.214059,0.865446,0.122953,0.537004,0.000049,0.0030,0.091105,0.327814,0.01447,0.064307,0.070408,0.258386,0.000001,0.000628
  Honduras,4.326326,8.314574,2.484053,5.576724,0.0030,0.014089,1.736702,2.572874,0.216113,0.252707,1.071777,0.99016,0.105571,0.164976
  Hong Kong SAR,"1,052.016054","1,779.656017",532.704569,885.753289,325.928798,451.594659,484.069899,836.356152,160.091998,371.722558,270.331594,406.443466,35.241586,57.546576
  Hungary,56.115077,27.875747,29.609655,13.374763,16.550426,5.584575,25.490599,11.814643,2.423047,1.662259,22.967398,9.722104,1.014823,2.686341
  Iceland,3.786916,3.217591,0.9792,1.902378,0.000162,,2.783695,1.162752,0.078183,0.315319,2.703512,0.849121,0.024021,0.152461
  India,214.987471,140.32432,92.020467,125.122282,34.773827,36.134133,111.274457,13.930897,15.253321,2.942329,67.018134,8.674164,11.692547,1.271141
  Indonesia,127.002739,31.6816,33.299791,23.930793,18.738445,8.442182,87.696998,7.604935,3.839802,0.45981,59.904506,7.094113,6.00595,0.145872
  Iran,1.368178,12.174409,0.487046,10.115675,0.138443,1.192325,0.88011,1.788958,0.43391,0.419022,0.432641,0.871584,0.001022,0.269776
  Iraq,2.841314,26.248296,0.474135,24.359713,0.101422,0.062605,2.366354,1.797795,0.194509,0.041812,1.757324,1.088983,0.000825,0.090788
  Ireland,"1,051.728283","1,194.82515",344.168964,409.196486,192.566438,228.326667,688.8116,622.298032,524.200321,487.212747,158.548401,132.075027,18.747719,163.330632
  Isle of Man,18.056629,55.459294,5.784186,43.943984,4.92708,23.921866,12.248564,11.452607,2.04419,4.740549,9.816601,5.152566,0.023879,0.062703
  Israel,53.716719,61.995232,23.613913,29.635481,3.122855,9.618183,29.412579,28.96941,4.212963,7.549838,25.162397,20.643273,0.690227,3.390341
  Italy,"1,076.93568",688.643492,537.120695,347.347288,337.390631,259.767847,515.383358,223.676777,205.555077,120.828139,309.637488,102.206858,24.431627,117.619427
  Jamaica,2.080945,3.281479,0.702462,2.032448,0.534733,0.739592,1.376423,1.222081,0.504616,0.232713,0.793587,0.969412,0.00206,0.02695
  Japan,"1,771.016922","1,033.324421","1,074.493115",680.913577,795.761868,524.53614,623.752692,220.336795,400.735814,161.75407,215.524476,52.772292,72.771115,132.074049
  Jersey,320.257415,292.207166,129.875996,205.265601,35.460914,192.736763,189.734741,84.672152,128.255445,61.897641,61.293052,22.709128,0.646678,2.269413
  Jordan,8.74674,20.056354,1.769815,13.711821,0.324262,0.62779,6.977195,6.267413,0.081705,0.167146,4.554006,4.115268,-0.00027,0.07712
  Kazakhstan,12.401609,21.669395,4.330386,9.676264,1.641929,0.722517,8.038119,10.956563,0.295352,1.528371,7.739525,8.551736,0.033104,1.036568
  Kenya,10.666896,9.963573,1.931767,5.20714,0.135077,0.635005,8.694136,4.743024,0.048351,0.126834,8.332139,3.929115,0.040993,0.013409
  Kiribati,0.000287,0.281265,0.000005,0.007034,0.000005,0.007034,0.000282,0.009716,,0.002167,0.000282,0.007549,,0.264515
  Korea,331.618515,176.992862,185.249531,123.540529,76.584207,50.796964,107.303764,33.400552,26.533251,22.687577,77.93902,9.842679,39.06522,20.051781
  Kuwait,42.12422,125.825154,28.802952,75.079174,1.766019,5.282262,13.221672,50.103499,2.000801,25.225381,6.73471,20.942229,0.099596,0.642481
  Kyrgyz Republic,1.709734,1.675738,0.01317,1.474826,,,1.696564,0.137775,0.0012,0.003288,1.695364,0.134487,,0.063137
  Laos,15.906673,3.028848,2.123455,2.274132,1.146265,0.323267,13.782039,0.754707,0.028372,0.001005,13.483758,0.753702,0.001179,0.000009
  Latvia,7.859437,8.198317,1.673727,4.434073,1.60079,4.265495,6.178485,3.481863,3.215504,1.263275,2.961981,2.217198,0.007225,0.282381
  Lebanon,3.659203,24.768255,0.410337,8.031763,0.020465,1.046217,3.24629,16.601136,0.429147,1.270606,2.633122,14.748908,0.002576,0.135356
  Lesotho,0.216132,0.561419,0.0210,0.435025,0.0130,0.1340,0.195132,0.12632,,0.002003,0.195132,0.124317,0.0000,0.000074
  Liberia,29.291417,16.954408,0.040436,0.520481,0.0330,0.0350,29.222145,16.38275,2.843771,2.881143,25.714899,12.44373,0.028836,0.051177
  Libya,1.386574,42.534976,0.57192,31.889642,0.0260,1.9410,0.764481,10.355844,0.086665,2.43258,0.085816,1.442859,0.050173,0.28949
  Liechtenstein,16.201543,11.066966,12.965463,7.258212,9.317932,2.561715,3.147827,3.420366,1.2289,1.536769,1.821674,1.652634,0.088253,0.388388
  Lithuania,19.395434,30.728812,13.891421,26.290985,9.543123,22.291751,5.501348,3.382044,0.096816,0.709042,5.402536,2.668832,0.002665,1.055783
  Luxembourg,"1,513.262182","1,325.294533",453.492749,510.51425,238.138475,356.274783,993.781406,531.560245,680.628334,417.351332,306.964319,112.301095,65.988027,283.220038
  Macao SAR,92.945294,133.207921,87.042689,106.81755,56.934286,38.92635,5.568115,24.682978,0.115098,0.314893,5.164383,23.904088,0.33449,1.707393
  Madagascar,0.951294,1.481534,0.150573,0.715575,0.11494,0.022363,0.7967,0.764882,0.0040,0.001236,0.724595,0.69029,0.004021,0.001077
  Malawi,0.325705,0.478041,0.067683,0.220048,0.0230,0.001004,0.257022,0.258698,,0.000081,0.257022,0.249579,0.0010,-0.000705
  Malaysia,92.615205,47.678459,56.008226,27.602906,15.444446,13.037175,33.938241,18.848414,2.326981,5.366178,25.142331,13.240415,2.668738,1.227139
  Maldives,2.18585,0.505588,0.000195,0.237681,,0.000054,2.185548,0.266675,0.00155,,1.599579,0.221661,0.000107,0.001232
  Mali,0.803786,0.214647,0.133878,0.025058,0.0920,0.0040,0.668426,0.187423,0.030558,0.000795,0.637868,0.186628,0.001482,0.002166
  Malta,20.905907,26.807395,8.258418,3.122849,5.160015,1.824176,12.501138,22.186203,2.779271,8.017176,9.487004,13.440774,0.146351,1.498343
  Marshall Islands,25.901354,32.6584,0.034004,0.618188,0.0270,0.0450,25.802933,31.922654,4.266893,9.190565,20.012979,21.686024,0.064417,0.117558
  Mauritania,0.77565,1.566463,0.374889,0.560005,0.0260,0.024005,0.372683,1.003358,,,0.320708,1.003358,0.028078,0.0031
  Mauritius,23.723687,22.888285,3.911606,9.492925,4.00489,2.333349,19.277768,12.989423,8.724242,6.74879,6.302742,4.952974,0.534313,0.405937
  Mexico,170.13082,225.040861,43.285626,129.53909,30.759298,27.643188,120.123367,88.453897,44.262296,21.53791,72.920709,66.272733,6.721827,7.047874
  Micronesia,0.192076,0.069167,,,,,0.192076,0.069167,0.095056,0.037855,0.09702,0.031309,,
  Moldova,0.330658,0.8555,0.099245,0.729763,0.0020,0.064368,0.230615,0.120194,,0.002601,0.230615,0.117593,0.000798,0.005543
  Mongolia,4.486071,1.316144,0.462429,0.89069,0.005097,0.000093,3.989138,0.424316,0.019031,0.026063,3.435211,0.255834,0.034504,0.001138
  Montenegro,1.423626,1.053119,0.089519,0.748466,0.073447,0.06607,1.331202,0.299089,0.002946,0.004437,1.328256,0.291652,0.002905,0.005564
  Montserrat,0.401789,0.283645,0.401754,0.27469,,,0.000035,0.008536,,0.000045,0.000035,0.002839,,0.000419
  Morocco,14.019775,11.054839,4.250161,8.073544,3.484791,1.760741,9.599678,2.931501,0.13169,0.129423,9.215569,2.739014,0.169936,0.049794
  Mozambique,3.448779,6.870551,0.465228,3.651661,0.128678,0.213527,2.973726,3.216639,0.080025,0.226038,2.857297,2.985112,0.009825,0.002251
  Myanmar,3.126899,3.843943,2.41165,2.091794,1.082611,1.282396,0.715249,1.75111,0.021768,0.002984,0.429887,1.747076,0.0000,0.001039
  Namibia,1.516558,1.77591,0.284022,0.967685,0.164928,0.432444,1.231526,0.790517,0.162121,0.390787,1.069405,0.395626,0.00101,0.017708
  Nauru,0.082639,0.219344,,0.0021,,,0.082639,0.217232,,0.000369,0.082639,0.216863,,0.000012
  Nepal,0.712973,4.627989,0.186487,4.200447,0.001064,0.022647,0.494669,0.427601,0.025598,0.02047,0.409322,0.389115,0.031817,-0.000059
  Netherlands,"1,223.526337","1,183.9906",627.945751,627.916288,438.675841,423.873306,508.193139,370.004475,223.340796,199.146527,276.169562,167.177843,87.387447,186.069837
  New Caledonia,6.63631,1.733881,2.266932,0.761744,2.256633,0.568019,4.19764,0.970104,0.0120,0.002208,4.18564,0.967886,0.171738,0.002033
  New Zealand,76.529308,36.651107,39.213885,21.060787,24.62551,11.074522,36.723323,14.411138,14.555553,6.656949,20.70668,7.005765,0.5921,1.179182
  Nicaragua,1.383551,2.304042,0.862709,0.322513,,,0.520601,1.981438,0.0350,0.184864,0.239188,0.481765,0.000241,0.000091
  Niger,0.38497,0.736404,0.006523,0.017484,0.003856,0.0020,0.378447,0.718862,0.000111,0.004009,0.378336,0.712853,0.0000,0.000058
  Nigeria,41.690949,43.969979,24.347314,31.810482,2.261952,4.131943,17.285177,12.137836,1.05698,1.965254,15.426842,9.603178,0.058458,0.021661
  North Korea,0.046811,0.048638,0.021289,0.003375,,,0.025522,0.045263,,0.031224,0.025317,0.013795,,
  North Macedonia,2.351542,1.198396,1.206686,1.040845,0.456264,0.020531,1.142931,0.142062,0.114416,0.003165,1.028515,0.137897,0.001925,0.015489
  Norway,355.581338,214.816955,289.526868,152.513937,128.127725,47.192867,62.988057,29.423967,16.100974,8.01682,46.620414,21.203624,3.066413,32.879051
  Oman,16.737992,20.112545,2.144147,6.85713,0.021302,0.053667,14.545361,12.998011,0.224665,0.492679,9.439406,10.985856,0.048484,0.257404
  Pakistan,31.264874,7.556571,2.519667,5.040629,1.204568,0.291331,28.725024,2.49881,0.05643,0.092668,26.778796,1.912594,0.020183,0.017132
  Palau,0.004103,0.013108,,,,,0.004103,0.013079,,,0.004103,0.009562,,0.000029
  Palestinian Territory,0.129139,1.459283,0.116075,1.27876,,0.006442,0.014061,0.177044,0.000768,0.007189,0.013293,0.169855,-0.000997,0.003479
  Panama,85.656298,51.946231,16.250368,13.089415,9.311626,3.339015,69.285838,38.720752,8.188169,8.75173,58.609556,28.26007,0.120092,0.136064
  Papua New Guinea,1.993822,1.120225,0.547899,0.384191,0.543739,0.016068,1.43534,0.734976,0.006635,0.004284,1.292586,0.456583,0.010583,0.001058
  Paraguay,2.898195,2.662087,1.672063,1.291448,0.027404,0.060001,1.184151,1.366608,0.132989,0.20587,0.945867,1.1356,0.041981,0.004031
  Peru,33.134848,38.99573,10.511415,19.252303,6.274757,0.581109,22.101857,17.390575,4.446668,5.263151,15.915445,10.379941,0.521576,2.352852
  Philippines,42.271317,25.827713,17.548937,13.897243,4.429769,2.201704,23.529548,10.283095,3.292042,0.979801,13.760263,9.213944,1.192832,1.647375
  Poland,142.339333,95.139707,67.846575,60.6526,29.491499,15.745566,67.373465,26.609682,11.670976,4.547793,54.771102,21.948999,7.119293,7.877425
  Portugal,103.54312,62.44684,58.059741,15.93502,42.97082,9.154812,44.314935,34.886985,6.253504,3.112592,38.007183,31.223223,1.168444,11.624835
  Qatar,206.626982,86.73146,139.687643,39.856437,73.90518,11.908687,66.573228,46.460043,21.091817,9.804773,40.117764,35.736528,0.366111,0.41498
  Romania,35.549864,17.239675,15.838122,10.40568,11.228506,5.215105,19.652204,5.036767,4.751136,0.472928,14.900666,4.542606,0.059538,1.797228
  Russia,39.482267,309.901333,17.641437,284.860052,5.908337,26.465063,21.645562,24.566413,0.655581,13.189307,20.811137,9.936691,0.195268,0.474868
  Rwanda,1.038805,0.498675,0.081137,0.362449,0.0390,0.0030,0.955547,0.136115,,0.00826,0.906972,0.127855,0.002121,0.000111
  Samoa,4.424916,24.555879,0.001953,1.135981,0.000628,0.002812,4.384793,23.378804,0.553332,3.989618,2.851787,15.18439,0.03817,0.041094
  San Marino,0.430684,0.687038,0.197607,0.160454,,,0.233067,0.491461,0.00799,0.032277,0.225077,0.459184,0.00001,0.035123
  São Tomé and Príncipe,0.052717,0.104242,0.000728,0.073196,,0.010825,0.040086,0.029868,,0.000275,0.040086,0.029593,0.011903,0.001178
  Saudi Arabia,141.458795,184.553408,50.619589,126.229734,3.626965,2.099759,90.306157,53.459505,21.952589,4.999602,55.400437,37.246699,0.533049,4.864169
  Senegal,9.775824,1.484554,0.614908,0.636118,0.369804,0.010406,9.137071,0.838189,0.034595,0.043785,9.058265,0.789404,0.023845,0.010247
  Serbia,14.163767,5.00549,2.897036,3.876158,1.597165,0.661918,11.174059,0.993377,0.82211,0.014738,10.352949,0.963639,0.092672,0.135955
  Seychelles,2.960765,14.656601,0.006079,0.757898,0.0070,0.006713,2.95052,13.892662,0.687243,3.969553,1.81041,8.077676,0.004166,0.006041
  Sierra Leone,0.105781,0.351025,0.0250,0.229534,0.0060,0.0610,0.078781,0.121375,,0.005872,0.078781,0.11217,0.0020,0.000116
  Singapore,877.705716,951.025732,651.977513,674.119932,435.460162,449.977434,215.448975,267.599027,82.086778,87.547328,131.645348,177.08156,10.279228,9.306773
  Sint Maarten,0.089451,0.081895,0.015557,-0.025813,0.009557,-0.0260,0.072886,0.107591,0.001057,0.005267,0.071774,0.099387,0.001008,0.000117
  Slovakia,46.528973,14.960566,26.821654,2.494425,12.462803,1.146215,19.454045,11.019045,2.477361,0.806251,16.975684,10.204333,0.253274,1.447096
  Slovenia,13.304418,12.896397,2.465439,2.620528,1.150442,1.507566,10.638919,7.915217,0.757071,0.162575,9.879851,7.748542,0.20006,2.360652
  Solomon Islands,0.098913,0.280104,0.047633,0.136188,0.00621,0.011851,0.05128,0.137445,,0.000228,0.050995,0.11258,,0.006471
  Somalia,0.041433,0.039257,0.0200,0.019989,,,0.021405,0.019239,,,0.021405,0.019239,0.000028,0.000029
  South Africa,54.311445,51.377519,30.907047,29.558953,16.219701,7.907974,20.789105,18.68254,6.793839,6.815905,13.758851,10.517926,2.615293,3.136026
  South Sudan,0.269065,0.029933,,0.001051,,,0.269065,0.02784,,,0.269065,0.02784,,0.001042
